id,title,image,servings,readyInMinutes,dishTypes,cuisines,ingredients
660306,Slow Cooker: Pork and Garbanzo Beans,https://img.spoonacular.com/recipes/660306-556x370.jpg,6,45,"lunch, main course, main dish, dinner",,"cinnamon, cumin, garbanzo beans *1, ground pepper, onion, pork should roast, salt, water *2"
756814,Powerhouse Almond Matcha Superfood Smoothie,https://img.spoonacular.com/recipes/756814-556x370.jpg,2,10,"morning meal, brunch, beverage, breakfast, drink",,"natural almond butter, almond milk, banana, chia seeds, baby kale, mango pieces, matcha tea powder, pineapple, vanilla extract"
715769,Broccolini Quinoa Pilaf,https://img.spoonacular.com/recipes/715769-556x370.jpg,2,30,"side dish, lunch, main course, main dish, dinner","Mediterranean, Italian, European","broccolini, garlic clove, olive oil, onion, quinoa, vegetable broth, walnuts"
642129,Easy To Make Spring Rolls,https://img.spoonacular.com/recipes/642129-556x370.jpg,4,45,"fingerfood, antipasti, starter, snack, appetizer, antipasto, hor d'oeuvre","Vietnamese, Asian","you can use regular basil, boston lettuce, chili pepper, fish sauce, coriander leaves, garlic, lime juice, mint leaves, bell pepper, rice vinegar, shrimp, spring roll wrappers, sugar, water, nuoc cham, nuoc cham"
642605,Farro With Mushrooms and Asparagus,https://img.spoonacular.com/recipes/642605-556x370.jpg,4,75,side dish,,"asparagus, chicken stock, porcini mushrooms, farro, thyme, garlic, olive oil, onion, salt and pepper, sherry vinegar"
636589,Butternut Squash Frittata,https://img.spoonacular.com/recipes/636589-556x370.jpg,1,45,"lunch, main course, morning meal, brunch, main dish, breakfast, dinner",,"butternut squash, goat cheese, liquid egg substitute, non-fat milk, bell pepper"
646738,Herbivoracious' White Bean and Kale Soup,https://img.spoonacular.com/recipes/646738-556x370.jpg,6,45,"lunch, soup, main course, main dish, dinner",,"olive oil, onion, garlic, carrot, kosher salt, bay leaves, rosemary leaves, the following: parmesan rind), navy, water, dinosaur kale, juice of lemon"
663559,Tomato and lentil soup,https://img.spoonacular.com/recipes/663559-556x370.jpg,4,45,"lunch, soup, main course, main dish, dinner",,"olive oil, onion, garlic, carrots, tomatoes, bay leaf, water, lentils, salt, parsley"
662670,Swiss Chard Wraps,https://img.spoonacular.com/recipes/662670-556x370.jpg,6,45,side dish,,"swiss chard leaves, orange cauliflower, olive oil, garlic, salt, basil, zucchini, bell pepper, avocado, trader joe's spicy peanut vinaigrette"
640062,Corn Avocado Salsa,https://img.spoonacular.com/recipes/640062-556x370.jpg,2,25,"antipasti, condiment, starter, snack, appetizer, dip, antipasto, hor d'oeuvre, spread",Mexican,"avocado, balsamic vinegar, cumin, corn, garlic, bell pepper"
715421,Cheesy Chicken Enchilada Quinoa Casserole,https://img.spoonacular.com/recipes/715421-556x370.jpg,4,30,"side dish, lunch, main course, main dish, dinner",Mexican,"avocado, pepper, black beans, canned tomatoes, chili powder, quinoa, cumin, verde enchilada sauce, cilantro, green onion tops, roma tomato, salt, cheese, chicken breast, corn, pepper"
715957,Zesty Green Pea and Jalapeño Pesto Pasta,https://img.spoonacular.com/recipes/715957-556x370.jpg,4,45,side dish,,"fresh basil leaves, fresh mint leaves, garlic, jalapeno, juice of lemon, olive oil, peas, rotini pasta, sea salt, red onion, sun-dried tomatoes, ground"
648320,Jade Buddha Salmon Tartare,https://img.spoonacular.com/recipes/648320-556x370.jpg,2,45,"lunch, main course, main dish, dinner",,"salmon, green onion, chives, cilantro, thai basil, ginger, lime zest, lime juice, rice vinegar, habanero sauce and chile, salt and pepper, olive oil to coat"
716432,Finger Foods: Frittata Muffins,https://img.spoonacular.com/recipes/716432-556x370.jpg,1,45,"morning meal, brunch, breakfast",,"broccoli, chives, t cream, eggs, orange pepper, salt and pepper, cheddar cheese, tomato"
798400,Spicy Black-Eyed Pea Curry with Swiss Chard and Roasted Eggplant,https://img.spoonacular.com/recipes/798400-556x370.jpg,6,45,"antipasti, starter, snack, appetizer, antipasto, hor d'oeuvre","Indian, Asian","black-eyed peas, curry powder, garam masala, globe, ground coriander, ground cumin, ground mustard powder, juice of lemon, olive oil, chilies, sea salt, shallots, swiss chard, tomato, water"
652417,Moroccan chickpea and lentil stew,https://img.spoonacular.com/recipes/652417-556x370.jpg,3,30,"lunch, soup, main course, main dish, dinner",,"broccoli, chickpeas, carrots, celery stalks, lentils, couscous, cilantro, ground cinnamon, ground cumin, ground turmeric, lemon juice, olive oil, paprika, salt and pepper, tomato paste, water"
661925,Strawberry-Mango Quinoa Salad,https://img.spoonacular.com/recipes/661925-556x370.jpg,4,45,"side dish, antipasti, salad, starter, snack, appetizer, antipasto, hor d'oeuvre",,"cucumber, mint, honey, lime juice, lime zest, mango, olive oil, bell pepper, quinoa, salt, cream, strawberries, water"
636787,Caldo Verde - Portuguese Kale Soup,https://img.spoonacular.com/recipes/636787-556x370.jpg,4,45,"lunch, soup, main course, main dish, dinner",,"onion, carrots, garlic cloves, potatoes, chorizo links, chicken stock and 2 cups of water, kale, of water and 2 packets of chicken boullion, pepper flakes, salt and pepper"
652423,Moroccan Couscous and Chickpea Salad,https://img.spoonacular.com/recipes/652423-556x370.jpg,6,45,side dish,,"pepper, chickpeas, cayenne, cinnamon, couscous, green onions, ground ginger, ground nutmeg, lemon, olive oil, parsley, pistachio nuts, bell pepper, salt, turmeric, vegetable broth"
715447,Easy Vegetable Beef Soup,https://img.spoonacular.com/recipes/715447-556x370.jpg,8,150,"lunch, soup, main course, main dish, dinner",,"beef short ribs, elbow macaroni, water 4 qts, canned tomatoes, potatoes, on carrots, celery, onion, kernal corn, butter beans, eyed peas, bay leaves, garlic powder, celery salt, worcestershire sauce, salt, ground pepper, seasoning, beef bouillon cubes, parsley"
716311,Mango Fried Rice,https://img.spoonacular.com/recipes/716311-556x370.jpg,2,45,"side dish, lunch, main course, main dish, dinner","Chinese, Asian","chicken stock, seasoning cubes, mango, rice, vegetables, scotch bonnet pepper"
715543,Homemade Guacamole,https://img.spoonacular.com/recipes/715543-556x370.jpg,4,45,"antipasti, condiment, starter, snack, appetizer, dip, antipasto, hor d'oeuvre, spread",Mexican,"avocados, cilantro, juice of lime, pepper, onion, roma tomato"
157344,"Spicy Salad with Kidney Beans, Cheddar, and Nuts",https://img.spoonacular.com/recipes/157344-556x370.jpg,1,10,"side dish, lunch, main course, salad, main dish, dinner",,"almonds, avocado, balsamic vinegar, cheddar cheese, kidney beans, greens, olive oil, roasted cashews, sundried tomatoes, tabasco"
658509,Roasted Broccoli with Lemon and Garlic,https://img.spoonacular.com/recipes/658509-556x370.jpg,4,45,side dish,,"broccoli florets, extra virgin olive oil, garlic, ground pepper, lemon juice, salt"
716195,Spicy Indian-Style Hummus,https://img.spoonacular.com/recipes/716195-556x370.jpg,12,45,"antipasti, condiment, starter, snack, appetizer, dip, antipasto, hor d'oeuvre, spread",Middle Eastern,"asafetida, cayenne, chickpeas, chives, ginger, parsley, garlic, ground coriander, ground cumin, ground pepper, juice of lemon, olive oil, chilies, sea salt, tahini, turmeric"
716361,"Stir Fried Quinoa, Brown Rice and Chicken Breast",https://img.spoonacular.com/recipes/716361-556x370.jpg,1,45,"lunch, main course, main dish, dinner",,"suya spice, quinoa and brown rice mix, butter, carrots, cherry tomatoes, chicken breast, garlic, seasoning cubes, bell pepper, roma tomato, scotch bonnet pepper, spring onion, vegetable oil, water"
765011,Snap Pea and Green Bean Salad with Arugula Pesto,https://img.spoonacular.com/recipes/765011-556x370.jpg,6,45,side dish,,"roasted almonds, almonds, baby arugula, basil leaves, cilantro, extra virgin olive oil, garlic, micro greens, lemon zest, pistachios, salt and pepper, snap peas, wax beans, yogurt"
660228,Skinny Kale Basil Pesto,https://img.spoonacular.com/recipes/660228-556x370.jpg,3,45,"condiment, dip, sauce, spread",,"kale leaves, basil leaves, juice of lemon, garlic cloves, miso paste, parmesan cheese, walnuts, water, olive oil"
716408,"Greek-Style Baked Fish: Fresh, Simple, and Delicious",https://img.spoonacular.com/recipes/716408-556x370.jpg,4,30,"lunch, main course, main dish, dinner","Mediterranean, European, Greek","bell pepper, rice, basil, feta cheese, fish fillets, olive oil, oregano, pepper, onion, salt & pepper, tomato, white wine"
661340,Spinach Salad with Strawberry Vinaigrette,https://img.spoonacular.com/recipes/661340-556x370.jpg,1,45,"side dish, lunch, main course, salad, main dish, dinner",,"almonds, balsamic vinegar, chicken, dijon mustard, feta cheese, thyme, ground pepper, shallot, spinach leaves, strawberries, strawberries, water"
659135,Salmon with roasted vegetables,https://img.spoonacular.com/recipes/659135-556x370.jpg,2,45,"lunch, main course, main dish, dinner",,"potato, parsnip, carrot, onion, cherry tomatoes, salmon, olive oil, lemon juice, salt, rosemary and thyme"
639851,Cod with Tomato-Olive-Chorizo Sauce and Mashed Potatoes,https://img.spoonacular.com/recipes/639851-556x370.jpg,2,45,"lunch, main course, main dish, dinner",,"olives, cod fillets, parsley, parsley leaves, lemon juice, olive oil, olive oil, plum tomatoes, potatoes, bell pepper, salt, a semi-smoked sausage"
664547,Vegetable Dip,https://img.spoonacular.com/recipes/664547-556x370.jpg,3,45,"antipasti, condiment, starter, snack, appetizer, dip, antipasto, hor d'oeuvre, spread",,"spinach, onion, lowfat yogurt, vegetables"
633921,Balsamic & Honey Glazed Salmon with Lemony Asparagus,https://img.spoonacular.com/recipes/633921-556x370.jpg,2,60,"lunch, main course, main dish, dinner",,"apple cider vinegar, asparagus, balsamic vinegar, dill, garlic, grapeseed oil, herbs de provence, honey, juice of lemon, lemon zest, salmon fillet, salt and pepper, vegetable stock"
641057,Curried Butternut Squash and Apple Soup,https://img.spoonacular.com/recipes/641057-556x370.jpg,1,45,"antipasti, soup, starter, snack, appetizer, antipasto, hor d'oeuvre",,"cauliflower, butternut squash, apple, water, braggs liquid aminos, curry powder, ginger powder, a squirt sriracha, block lite tofu"
