Title,Servings,Ready in (minutes),Source URL,Image,Calories,Carbs (g),Fat (g),Protein (g)
Easy Chicken Wings,4,45,https://www.foodista.com/recipe/Y4H5VXG4/easy-chicken-wings,https://img.spoonacular.com/recipes/641907-556x370.jpg,427.69,30.97,5.52,20.57
chilli chicken,2,160,https://spoonacular.com/-1424528841847,https://img.spoonacular.com/recipes/629963-556x370.jpg,252.64,6.66,1.02,18.29
Raspberry Walnut Coffee Cake,6,35,https://www.foodista.com/recipe/87KT4SKP/raspberry-walnut-coffee-cake,https://img.spoonacular.com/recipes/657917-556x370.jpg,189.5,7.18,0.62,28.92
Classic Mint Julep,1,45,https://www.foodista.com/recipe/8334LG47/mint-juleps,https://img.spoonacular.com/recipes/639618-556x370.jpg,123.49,0.06,0.01,15.52
The BEST Sweet Potato Casserole,6,40,https://www.pinkwhen.com/sweet-potato-casserole-gourmet-holiday-baking/,https://img.spoonacular.com/recipes/1043340-556x370.jpg,286.81,22.81,7.49,19.48
White chocolate-cranberry ice cream,6,45,https://www.foodista.com/recipe/HSYFZTRN/white-chocolate-cranberries-ice-cream,https://img.spoonacular.com/recipes/665203-556x370.jpg,428.95,27.73,16.29,40.24
Smoky Chicken Tacos,8,45,https://www.foodista.com/recipe/46JLSGNX/smoky-chicken-tacos,https://img.spoonacular.com/recipes/660406-556x370.,423.5,26.71,4.74,36.85
Pan Seared Fresh Maine Diver Scallops Creamy Avocado Champagne Grape Salad Teriyaki Cabernet Butter Sauce,4,45,https://www.foodista.com/recipe/MPJF4HSK/pan-seared-fresh-maine-diver-scallops-creamy-avocado-champagne-grape-salad-teriyaki-cabernet-butter-sauce,https://img.spoonacular.com/recipes/654430-556x370.jpg,573.6,39.34,7.04,31.27
Chia Seed Pudding,3,45,https://www.foodista.com/recipe/Q8DJWTHG/chia-seed-pudding,https://img.spoonacular.com/recipes/637832-556x370.png,143.1,6.28,0.48,19.12
Damn Good Corn Pudding ~from 12 Bones Smokehouse,10,45,https://www.foodista.com/recipe/6P65X54W/damn-good-corn-pudding-from-12-bones-smokehouse,https://img.spoonacular.com/recipes/641223-556x370.jpg,459.8,29.82,17.81,43.67
Green Beans with Pearl Onions and Salmon,4,45,https://www.foodista.com/recipe/PDS5KZWD/green-beans-with-pearl-onions-and-salmon,https://img.spoonacular.com/recipes/645418-556x370.jpg,368.44,17.94,5.53,14.94
Hot Cross Buns,12,45,https://www.foodista.com/recipe/PSM4LCWB/hot-cross-buns,https://img.spoonacular.com/recipes/647442-556x370.jpg,85.94,4.83,1.37,10.74
"Guf"" Danish Ice Cream Topping",4,45,https://www.foodista.com/recipe/LQY3DTZD/guf-danish-ice-cream-topping,https://img.spoonacular.com/recipes/631781-556x370.jpg,70.76,0.14,0.01,16.17
Dry Mee Siam,3,45,https://www.foodista.com/recipe/HLYHXWV4/dry-mee-siam,https://img.spoonacular.com/recipes/641687-556x370.jpg,653.4,23.44,2.81,88.8
Marinated Flat Iron Steak,4,45,https://www.foodista.com/recipe/JL7Y23HM/marinated-flat-iron-steak,https://img.spoonacular.com/recipes/651034-556x370.jpg,505.18,32.22,10.14,8.64
Lebanese Kibbeh,6,45,https://www.foodista.com/recipe/B6HG5RKG/lebanese-kibbeh,https://img.spoonacular.com/recipes/649403-556x370.jpg,585.12,41.42,13.81,22.66
Chicken Piccata with Artichokes,6,45,https://www.foodista.com/recipe/XRTTB44S/chicken-piccata-with-artichokes,https://img.spoonacular.com/recipes/638249-556x370.jpg,528.59,22.54,6.99,32.06
"Creamy Polenta with Egg, Arrabiata & Bacon",4,45,http://www.foodista.com/recipe/WPBY4PQQ/creamy-polenta-with-egg-arrabiata-bacon,https://img.spoonacular.com/recipes/640676-556x370.jpg,667.47,47.62,18.5,33.92
Chocolate Fudge Cookies,24,20,https://www.foodista.com/recipe/GZJMLM5F/chocolate-fudge-cookies,https://img.spoonacular.com/recipes/639031-556x370.jpg,177.7,11.95,4.61,17.1
Sterling Cooper Blini with Caviar,16,45,https://www.foodista.com/recipe/FR7746PB/sterling-cooper-blini-with-caviar,https://img.spoonacular.com/recipes/661602-556x370.jpg,83.52,7.03,4.22,3.84
Citrusy Pecan Garbanzo Couscous: A Salad For Cold Weather,2,45,http://www.foodista.com/recipe/W3MZ2T66/citrusy-pecan-garbanzo-couscous-a-salad-for-cold-weather,https://img.spoonacular.com/recipes/639535-556x370.jpg,570.41,18.09,2.01,89.69
Brooklyn Blackout Cake,10,45,https://www.foodista.com/recipe/RTL8NYCC/brooklyn-blackout-cake,https://img.spoonacular.com/recipes/636271-556x370.jpg,328.77,16.23,7.57,43.7
SLOW COOKER CHICKEN GUMBO SOUP,6,45,https://www.foodista.com/recipe/SYGHTJML/slow-cooker-chicken-gumbo-soup,https://img.spoonacular.com/recipes/660283-556x370.jpg,238.53,4.89,1.31,39.46
No-Bake Fudge Brandy Brownies,16,45,http://www.foodista.com/recipe/LXF37J76/no-bake-fudge-brandy-brownies,https://img.spoonacular.com/recipes/653192-556x370.jpg,174.68,11.11,3.66,16.64
Osso Buco,6,45,https://www.foodista.com/recipe/8J6ZKVBH/osso-buco,https://img.spoonacular.com/recipes/654125-556x370.jpg,444.76,18.05,3.88,15.6
Tex-Mex Polenta Rounds with Chunky Guacamole,12,45,https://www.foodista.com/recipe/NBJCXGR7/tex-mex-polenta-rounds-with-chunky-guacamole,https://img.spoonacular.com/recipes/663054-556x370.jpg,269.14,21.93,8.76,10.2
Lavender Tea With Lemon French Macarons,20,45,https://www.foodista.com/recipe/ST2LF54Z/lavender-tea-with-lemon-french-macarons,https://img.spoonacular.com/recipes/649328-556x370.jpg,61.06,2.11,0.15,9.64
Almond and cranberry shortbread,10,45,https://www.foodista.com/recipe/6J6BPBR5/almond-and-cranberry-shortbread,https://img.spoonacular.com/recipes/632091-556x370.jpg,349.65,20.59,9.54,38.69
"Chocolate Chip Pancakes-gluten free, nut free, vegan",12,45,https://www.foodista.com/recipe/TVH4PNC8/chocolate-chip-pancakes-gluten-free-nut-free-vegan,https://img.spoonacular.com/recipes/638939-556x370.jpg,267.75,18.88,7.11,24.78
Chocolate Quark Cake,12,45,https://www.foodista.com/recipe/PQQMB86C/chocolate-quark-cake,https://img.spoonacular.com/recipes/639182-556x370.jpg,892.8,55.39,33.81,97.87
Ginger Chicken Stir-Fry,6,45,https://www.foodista.com/recipe/HVGBX52M/ginger-chicken-stir-fry,https://img.spoonacular.com/recipes/644571-556x370.jpg,319.62,8.74,1.52,38.55
Moroccan Carrot Soup,2,45,https://www.foodista.com/recipe/TLKVZLVG/moroccan-carrot-soup,https://img.spoonacular.com/recipes/652413-556x370.jpg,349.45,16.1,9.14,45.53
Hot Crab Dip,4,45,https://www.foodista.com/recipe/5FF8FJ23/holiday-hot-crabmeat-dip,https://img.spoonacular.com/recipes/631751-556x370.jpg,292.71,25.72,15.23,6.34
Homemade King Ranch Chicken Casserole,6,65,https://www.pinkwhen.com/king-ranch-chicken-casserole/,https://img.spoonacular.com/recipes/715437-556x370.jpg,554.22,29.32,15.56,36.59
Buffalo Wing Hummus,8,45,https://www.foodista.com/recipe/TKRJW6HH/buffalo-wing-hummus-with-lime-chips,https://img.spoonacular.com/recipes/636422-556x370.jpg,37.21,0.68,0.07,6.5
Tomato and lentil soup,4,45,https://www.foodista.com/recipe/5V4PTMT2/tomato-and-lentil-soup,https://img.spoonacular.com/recipes/663559-556x370.jpg,340.11,8.08,1.13,50.72
Flawless Chocolate Fudge,16,60,http://www.foodista.com/recipe/38ND6CKS/flawless-chocolate-fudge,https://img.spoonacular.com/recipes/643129-556x370.jpg,290.56,9.64,5.55,50.91
Saffron Chicken Tikka,3,45,https://www.foodista.com/recipe/GV8J2V28/saffron-chicken-tikka,https://img.spoonacular.com/recipes/658967-556x370.jpg,160.17,3.72,0.82,4.71
Moon Pies,24,45,https://www.foodista.com/recipe/6ZK3SWRV/moon-pies,https://img.spoonacular.com/recipes/652377-556x370.jpg,160.82,5.18,3.13,27.88
Milky Watermelon Drink,1,45,https://www.afrolems.com/2016/01/29/milky-watermelon-drink/,https://img.spoonacular.com/recipes/716252-556x370.jpg,193.39,8.18,4.85,23.61
Pumpkin Ravioli With Browned Butter Sage Sauce,4,45,https://www.foodista.com/recipe/L3MLJPK3/pumpkin-ravioli-with-browned-butter-sage-sauce,https://img.spoonacular.com/recipes/657377-556x370.jpg,812.73,40.27,22.81,78.75
Gingerbread,14,45,https://www.foodista.com/recipe/ZT6VVCSS/gingerbread,https://img.spoonacular.com/recipes/64694-556x370.jpg,227.55,4.05,0.47,46.02
Easy Key Lime Pie,8,45,https://www.foodista.com/recipe/H7JT66DF/easy-key-lime-pie,https://img.spoonacular.com/recipes/642003-556x370.jpg,480.59,31.88,19.0,44.47
Bacon-Wrapped Meatloaf,6,90,https://www.foodista.com/recipe/NJNVL828/bacon-wrapped-meatloaf,https://img.spoonacular.com/recipes/633372-556x370.jpg,701.35,55.29,20.23,14.67
Raw Vegan Chocolate and Raspberry Cake,12,45,https://www.foodista.com/recipe/CDSD8KXF/raw-vegan-chocolate-and-raspberry-cake,https://img.spoonacular.com/recipes/658007-556x370.jpg,565.24,32.8,8.55,68.73
Creamy Porcini Mushroom Polenta,6,45,https://www.foodista.com/recipe/F38KZJ88/creamy-porcini-mushroom-polenta,https://img.spoonacular.com/recipes/640677-556x370.jpg,266.46,14.08,8.4,27.24
No-Bake Chocolate Peanut Butter Pie,8,45,https://www.foodista.com/recipe/J8CYVNCS/no-bake-chocolate-peanut-butter-pie,https://img.spoonacular.com/recipes/653185-556x370.jpg,623.11,41.75,14.89,53.68
Mummy Meatballs with Spaghetti,16,45,https://www.foodista.com/recipe/773WJ8V5/mummy-meatballs-with-spaghetti,https://img.spoonacular.com/recipes/652591-556x370.jpg,530.63,8.91,2.27,88.61
Chicken Burritos,4,45,https://www.foodista.com/recipe/YCKK77YK/chicken-burrito-by-bing,https://img.spoonacular.com/recipes/637999-556x370.jpg,712.63,49.92,10.88,39.55
Delicious Triple Chocolate Bundt Cake,6,55,https://www.pinkwhen.com/delicious-triple-chocolate-bundt-cake/,https://img.spoonacular.com/recipes/715452-556x370.jpg,534.69,27.24,11.58,73.77
BBQ Mac and Cheese,4,45,https://www.foodista.com/recipe/FNMKDX42/bbq-mac-and-cheese,https://img.spoonacular.com/recipes/634496-556x370.jpg,812.67,25.59,13.88,109.2
Panna Cotta with Raspberry and Orange Sauce,6,45,https://www.foodista.com/recipe/K62J5T4T/panna-cotta-with-raspberry-and-orange-sauce,https://img.spoonacular.com/recipes/654571-556x370.jpg,395.65,27.31,16.6,30.87
Crab Stacks,3,45,https://www.foodista.com/recipe/CYLKTQPJ/crab-stacks,https://img.spoonacular.com/recipes/640321-556x370.jpg,729.84,26.14,3.93,69.2
Coconut Flour Pancakes with Blueberry Honey Compote,1,30,http://www.foodista.com/recipe/NQD2H3RC/coconut-flour-pancakes-with-blueberry-honey-compote,https://img.spoonacular.com/recipes/639769-556x370.jpg,753.33,37.83,18.36,92.84
Chèvre With Sautéed Grapes,4,45,https://www.foodista.com/recipe/37LG4HNY/ch-vre-with-saut-ed-grapes,https://img.spoonacular.com/recipes/637814-556x370.jpg,254.4,19.11,9.28,11.18
Apple Pie Honey Wheat Scones,8,45,https://www.foodista.com/recipe/RC4GDVWJ/apple-pie-honey-wheat-scones,https://img.spoonacular.com/recipes/632570-556x370.jpg,302.6,14.83,9.0,38.94
Cranegranate Sauce,4,240,https://www.foodista.com/recipe/FF7KXGHP/cranegranate-sauce,https://img.spoonacular.com/recipes/640453-556x370.jpg,77.28,0.34,0.04,19.42
Smoky Deviled Eggs,12,45,https://www.foodista.com/recipe/SPRVKSWX/smokey-deviled-eggs,https://img.spoonacular.com/recipes/660404-556x370.jpg,191.9,18.22,3.57,0.79
Croissants With Sesame Seeds (Kifli),50,45,https://www.foodista.com/recipe/QBPWT3WS/croissants-with-sesame-seeds-kifli,https://img.spoonacular.com/recipes/640907-556x370.jpg,134.96,7.04,1.32,14.66
Tzadziki,2,45,https://www.foodista.com/recipe/8RBBN8GT/tzadziki,https://img.spoonacular.com/recipes/664192-556x370.jpg,455.54,38.65,12.6,19.19
Chewy Gingersnaps,75,45,http://www.foodista.com/recipe/HY8GLB3V/chewy-gingersnaps,https://img.spoonacular.com/recipes/637824-556x370.jpg,70.83,3.1,1.64,10.51
Seared Scallops With Wilted Greens,4,45,https://www.foodista.com/recipe/RBGBTH6B/seared-scallops-with-wilted-greens,https://img.spoonacular.com/recipes/659679-556x370.jpg,271.37,17.7,6.03,8.09
Fish Pie With Fresh and Smoked Salmon,2,45,https://www.foodista.com/recipe/ZCCMVDXR/fish-pie-with-fresh-and-smoked-salmon,https://img.spoonacular.com/recipes/642977-556x370.jpg,724.63,27.08,8.44,64.64
Finger Lickin' Good Stewed Quince Dessert,6,45,https://www.foodista.com/recipe/RKFS2WGC/finger-lickin-good-stewed-quince-dessert,https://img.spoonacular.com/recipes/642878-556x370.jpg,189.89,7.22,0.56,33.29
Chilled Cucumber Avocado Soup with Yogurt and Kefir,3,45,https://fullbellysisters.blogspot.com/2012/06/chilled-cucumber-avocado-soup-with.html,https://img.spoonacular.com/recipes/716437-556x370.jpg,188.75,7.28,1.6,24.49
Lemon and Strawberry Loaf,8,45,https://www.foodista.com/recipe/4QX66SGC/lemon-and-strawberry-loaf,https://img.spoonacular.com/recipes/649504-556x370.jpg,319.53,15.52,9.49,41.95
Gluten Free Cinnamon Apple Muffins,12,45,https://www.foodista.com/recipe/43GDZDR2/gluten-free-cinnamon-apple-muffins,https://img.spoonacular.com/recipes/644810-556x370.jpg,52.92,1.21,0.4,9.69
Luscious Lemon Bars,6,45,https://www.foodista.com/recipe/N6WG5MLX/luscious-lemon-bars,https://img.spoonacular.com/recipes/650479-556x370.jpg,462.53,17.7,10.42,75.21
Easy Baked Parmesan Chicken,4,45,https://www.foodista.com/recipe/KVKJYVHX/easy-parmesan-chicken,https://img.spoonacular.com/recipes/641836-556x370.jpg,496.99,20.03,8.76,15.48
Lentil Mango Salad,4,45,https://www.foodista.com/recipe/TTBNDB7Q/lentill-mango-salad,https://img.spoonacular.com/recipes/649944-556x370.jpg,252.85,6.38,0.93,39.81
"Corn Chowder with Potatoes, Poblanos, and Smoked Gouda",6,45,https://www.foodista.com/recipe/6K74DSKF/corn-chowder-with-potatoes-poblanos-and-smoked-gouda,https://img.spoonacular.com/recipes/640077-556x370.jpg,316.27,14.01,8.34,43.82
Red Lentil Soup with Chicken and Turnips,8,55,https://www.pinkwhen.com/red-lentil-soup-with-chicken-and-turnips/,https://img.spoonacular.com/recipes/715415-556x370.jpg,477.24,20.34,3.1,51.78
The Perfect Butter Beans Stew,6,45,https://www.foodista.com/recipe/CQPQ67GP/the-perfect-butter-beans-stew,https://img.spoonacular.com/recipes/663314-556x370.jpg,146.63,3.14,0.41,23.79
Lamb In Red Mole Sauce,4,45,https://www.foodista.com/recipe/LT73VNJR/lamb-in-red-mole-sauce,https://img.spoonacular.com/recipes/649214-556x370.jpg,286.27,22.86,3.72,21.59
Winter Kimchi,1,45,https://www.foodista.com/recipe/DPZ3FLTW/winter-kimchi,https://img.spoonacular.com/recipes/665379-556x370.jpg,365.4,3.36,0.67,73.22
Brown Rice Mushroom Pilaf,4,45,https://www.foodista.com/recipe/S4DB57DW/brown-rice-mushroom-pilaf,https://img.spoonacular.com/recipes/636292-556x370.jpg,228.06,4.93,0.63,41.77
Boeuf Bourgignon,4,45,https://www.foodista.com/recipe/CHYFGP78/boeuf-bourgignon,https://img.spoonacular.com/recipes/635574-556x370.jpg,979.82,53.71,23.16,18.4
Easy Parmesan Knots,10,45,https://www.foodista.com/recipe/KMKHNJX2/easy-parmesan-knots,https://img.spoonacular.com/recipes/642054-556x370.jpg,181.05,11.64,1.5,16.94
Red Quinoa and Roasted Cauliflower Salad,4,45,https://www.foodista.com/recipe/22QVP2CY/red-quinoa-and-cauliflower-salad,https://img.spoonacular.com/recipes/658087-556x370.jpg,444.3,26.19,4.7,44.68
Decadent Black Forest Cake,20,45,https://www.foodista.com/recipe/Z8HWXGR7/decadent-black-forest-cake,https://img.spoonacular.com/recipes/641308-556x370.jpg,297.82,13.74,7.11,43.39
Chicken Verde Enchilada Casserole,6,45,https://www.foodista.com/recipe/NS3B8M6T/chicken-verde-enchilada-casserole,https://img.spoonacular.com/recipes/638409-556x370.jpg,536.8,26.92,11.76,40.07
Mini Nutella Cheesecakes,24,205,https://www.foodista.com/recipe/G3LB37KK/mini-nutella-cheese-cake,https://img.spoonacular.com/recipes/1098349-556x370.jpg,208.2,13.15,9.13,20.47
Chocolate Banoffee Pie,8,240,https://www.foodista.com/recipe/CLQWBZND/chocolate-banoffee-pie,https://img.spoonacular.com/recipes/638832-556x370.jpg,860.43,50.16,28.77,95.28
Savory Olive & Goat Cheese Palmiers,16,45,https://www.foodista.com/recipe/JB6G3ZCH/savory-olive-goat-cheese-palmiers,https://img.spoonacular.com/recipes/659479-556x370.jpg,201.67,14.61,4.09,14.09
German Rhubarb Cake with Meringue,12,45,https://www.foodista.com/recipe/68PX6QXK/german-rhubarb-cake-with-meringue,https://img.spoonacular.com/recipes/644488-556x370.jpg,200.67,3.69,0.5,38.5
