Title,Servings,Ready in (minutes),Source URL,Image,Calories,Carbs (g),Fat (g),Protein (g),Ingredients,Instructions
Grilled Ham and Cheese French Toast For A Quick Weeknight Dinner,4,45,https://www.foodista.com/recipe/45YYRH68/grilled-ham-and-cheese-french-toast-for-a-quick-weeknight-dinner,https://img.spoonacular.com/recipes/645732-556x370.jpg,432.03,21.64,9.61,27.53,"1/2 cup buttermilk, 2 egg whites or 1 large egg, 1/4 cup spicy brown mustard or Dijon mustard, 8 slices Oroweat healthfull nutty grain or hearty wheat bread, 4 slices (1 oz each) reduced-fat Havarti, Swiss or Jarlsberg cheese, 8 ounces sliced lean ham or turkey ham, 3 deli style dill pickles, each sliced lengthwise into thin slices, 2 tablespoons reduced-fat butter or Smart Balance Heart Right Light","Preheat oven to 350 degrees. In a shallow bowl or pie plate, whisk together buttermilk and egg whites. Set aside. Spread mustard on one side of each slice of bread.  Top 4 slices with 1 slice of cheese.  Arrange ham on top of cheese.  Add to each 3-4 thin slices of pickle. Top with remaining bread slices, mustard side down. Melt 1 tablespoon reduced-fat butter in a large nonstick pan over medium heat.  Dip 2 sandwiches into buttermilk mixture; carefully flip and dip other side.  Dont soak the sandwiches in this mixture. Just lightly dip and remove sandwiches, allowing excess buttermilk mixture to drip back into dish. Add sandwiches to pan; cover and cook 3-5 minutes.  Uncover, flip sandwiches, press top down with a spatula, cover and cook for 2-3 minutes until golden and cheese is melted.  Remove sandwiches, place on a baking sheet and keep warm in oven. Repeat steps 4 and 5 with remaining 2 sandwiches. Slice each sandwich in half and serve with a fork and knife."
Basil Grapefruit Pesto,6,45,https://www.foodista.com/recipe/WYS6KNNV/basil-grapefruit-pesto,https://img.spoonacular.com/recipes/634429-556x370.jpg,187.44,17.58,3.22,4.42,"1 cup Fresh Basil, 1/2 Grapefruit, 1/2 cup Walnuts, 1/4 cup Extra Virgin Olive Oil, 1/2 cup Asiago Cheese, 1 1/2 Tablespoon Fresh Squeezed Lemon Juice, 1 Clove Garlic, 3/4 Teaspoon Sea Salt",Combine all ingredients in a food processor or blender and puree until smooth.
Mardi Gras Cupcakes,14,45,https://www.foodista.com/recipe/T6ZPS33R/mardi-gras-cupcakes,https://img.spoonacular.com/recipes/650965-556x370.png,509.68,28.95,17.26,62.14,"1 teaspoon baking powder, 2 teaspoons baking soda, 1/2 cup buttermilk, 1 1/4 cups cake flour, 1 teaspoon Malibu coconut rum, 2 eggs (I like to separate and beat whites for a fluffier cake), Purple gel food coloring, Green gel food coloring, Yellow gel food coloring, 1/2 cup oil olive oil, 5 cups powdered sugar, salt, 3/4 cup sugar, 2 cups unsalted butter , at room temperature, 1 teaspoon vanilla extract","<ol><li>Preheat oven to 350 degrees F.</li><li>In a medium bowl, add cake flour, baking powder, baking soda and salt. Stir together with whisk, and set aside.</li><li>In the bowl of an electric mixer, add eggs, sugar, vanilla, rum, and oil; beat on medium speed for about 30 seconds. Reduce mixer speed to low and slowly add about half of the flour mixture. Add half of the buttermilk, then the rest of the flour and the rest of the buttermilk; beat until combined.</li><li>Separate batter into bowls and color with gel food coloring in yellow, purple, and green. Pour a little of each batter into lined cupcake. Fill liners a little over half full. Bake cupcakes 12-14 minutes. Remove from oven and allow to cool completely before frosting.</li><li>For Frosting</li><li>Using the paddle attachment of your stand mixer, whip the butter on medium-high speed for 2 minutes till butter is soft and fluffy. Reduce the speed to low and gradually add the powdered sugar. Once all of the powdered sugar is incorporated, increase the speed to medium-high and add the vanilla, mix well. Whip at medium-high speed until light and fluffy, about 2 minutes, scraping the bowl as needed. To color frosting just whip with purple, yellow, and green gel food coloring individually.</li><li>To swirl the frosting, simply put each color of frosting on each side of bag and pipe. I used a 1M tip from Wilton.</li></ol>"
"Broccoli Cheddar Soup, A Panera Bread Co. Copycat",4,45,https://www.foodista.com/recipe/N3TSHPQV/broccoli-cheddar-soup-a-panera-bread-co-copycat,https://img.spoonacular.com/recipes/636178-556x370.jpg,610.55,46.4,27.19,27.42,"2 bay leaves, 4 cups broccoli florets (about 1 head), 1/4 cup butter, 1 large carrot, diced, 1/4 cup flour, 2 cups half-and-half, Kosher salt and freshly ground pepper, 3 cups low-sodium chicken broth, 1/4 teaspoon nutmeg, 1 onion, chopped, 2 1/2 cups (about 8 ounces) grated sharp white and yellow cheddar cheese, plus more for garnish, 7 inches sourdough bread boules (round loaves)","<ol><li>Melt the butter in a large Dutch oven or pot over medium heat. Add the onion and cook until tender, about 5 minutes.</li><li>Whisk in the flour and cook until golden, 3 to 4 minutes, then gradually whisk in the half-and-half until smooth.</li><li>Add the chicken broth, bay leaves and nutmeg, then season with salt and pepper and bring to a simmer.</li><li>Reduce the heat to medium-low and cook, uncovered, until thickened, about 20 minutes.</li><li>Meanwhile, prepare the bread bowls: Using a sharp knife, cut a circle into the top of each loaf, leaving a 1-inch border all around.</li><li>Remove the bread top, then hollow out the middle with a fork or your fingers, leaving a thick bread shell.</li><li>Add the broccoli and carrot to the broth mixture and simmer until tender, about 20 minutes.</li><li>Discard the bay leaves.</li><li>Puree the soup in batches in a blender until smooth; you'll still have flecks of carrot and broccoli.</li><li>Return to the pot. (Or puree the soup in the pot with an immersion blender.)</li><li>Add the cheese to the soup and whisk over medium heat until melted.</li><li>Add up to 3/4 cup water if the soup is too thick.</li><li>Ladle into the bread bowls and garnish with cheese.</li></ol>"
Spicy Tuna Cakes,3,45,https://www.foodista.com/recipe/HWFXR7RN/spicy-tuna-cakes,https://img.spoonacular.com/recipes/661218-556x370.jpg,232.26,3.99,1.09,23.73,"1/2 teaspoon Cajun seasoning, 2 5 ounce cans tuna, 2 chili peppers, 2 teaspoons Dijon mustard, 1 egg, 2 garlic cloves, minced, 2 teaspoons greek yogurt, 3 green onions, A few dashes of hot sauce, 1 Juice of lemon, 4 ounces mirepoix, 1 1/4 cup Panko breadcrumbs, 1 teaspoon light sour cream",<ol><li>Combine all ingredients except the breadcrumbs.</li><li>Add panko 1 cup at a time until desired thickness (1 cup may be enough).</li><li>Make 6 cakes. Place on a plate and let sit in the fridge for 30 minutes to form.</li><li>Mix 1/4 cup panko and some Cajun seasoning in a shallow dish or plate.</li><li>Cover with panko mixture and spray pan with cooking spray and saute for 3 minutes on each side.</li><li>Spray with cooking spray before flipping each cake.</li><li>Serve with your favorite sauce. I like fresh squeezed lemon juice and butter.</li></ol>
Citrus Beet Salad,4,45,https://www.foodista.com/recipe/7FFR5LJH/citrus-beet-salad,https://img.spoonacular.com/recipes/639515-556x370.jpg,212.07,8.96,2.97,27.99,"5 medium beets, stems removed, 1 Tbsp. olive oil, 1 Tsp. balsamic vinegar, 1 grapefruit, peeled, 1 cup sprouts, ¼ cup pumpkin seeds, ¼ cup goat cheese, crumbled","Wash beets and pat dry. Place beets on a sheet of aluminum foil and drizzle with olive oil. Fold foil around the beets to create a sealed pouch. Place the pouch on a cookie sheet and bake until beets are tender. Cooking time varies on the size of the beets. After 30 minutes, pierce the beets with a fork. If they are still hard, return to the oven and test them every 15 minutes until they are tender. Remove from oven and stand until they are cool enough to handle. Use your hands to peel away the skin. Slice into bite size wedges and drizzle with balsamic vinegar. Line the bottom of a large bowl with sprouts and top with beets and grapefruit. Sprinkle with pumpkin seeds and goat cheese. Serve immediately."
Triple Citrus Cake,10,45,https://www.foodista.com/recipe/8TVL8K4Z/triple-citrus-cake,https://img.spoonacular.com/recipes/663837-556x370.jpg,179.3,3.65,0.65,34.77,"2 teaspoons baking powder, 1 cup plus 2 tablespoons all-purpose flour, 1/2 cup grapeseed oil, Zest of 2 lemons, minced, 8 ounces lime yogurt, 2 tablespoons orange juice, 1 cup powdered sugar, 1/2 teaspoon of salt, 1/2 cup of sugar, 1 teaspoon vanilla, 3 whole eggs","<ol><li>Whisk flour, baking powder and salt. Set aside.</li><li>With an electric mixer, beat yogurt, eggs, sugar, vanilla, oil, and lemon zest until combined.</li><li>Switch to a spatula and fold in flour mixture until incorporated.</li><li>Coat a 9 x 5 loaf pan with floured baking spray (or use parchment paper coated with baking spray as well) and pour in batter.  Smooth evenly.  Bake in a preheated oven at 350 degrees for 40-50 minutes or until a cake tester comes out clean.</li><li>Allow cake to cool at least an hour.</li><li>When cake is cool, move to a serving plate or cake platter. Mix powdered sugar with orange juice until smooth and drizzle the glaze over cake.</li></ol>"
Vegetarian Ratatouille,6,45,https://www.foodista.com/recipe/QP3VM3Y2/vegetarian-ratatouille,https://img.spoonacular.com/recipes/664689-556x370.jpg,95.73,5.16,0.75,12.12,"1 eggplant (aubergine) or 4 cups chopped, 1 zucchini (courgette) chopped, 1 yellow squash chopped, 2 tomato peeled and chopped, ½ red bell pepper chopped, ½ orange bell pepper chopped, 1 onion chopped, 5 cloves garlic chopped, 2 Tbsp chopped fresh basil, 2 sprigs of thyme, ¼ tsp dried oregano, 2 Tbsp extra virgin olive oil, 1 tsp sea salt",Saute onion and garlic in a large saucepan over medium low heat until onions are translucent. Add tomatoes and stir. Add all the remaining ingredients and cook for 30 minutes on low stirring occasionally or until eggplant is tender.
Almond Plum Cake with Creme Fraiche,6,45,https://www.foodista.com/recipe/RQHHKSRL/almond-plum-cake-with-creme-fraiche,https://img.spoonacular.com/recipes/632169-556x370.jpg,565.3,21.08,5.05,84.75,"1 cup almond paste (9 oz), 1 teaspoon baking powder, 15 grams Butter, 1 cup cake flour, Crème fraiche and slivered almond for serving, 6 eggs, at room temperature, 1 ¼ cup granulated sugar, 3 large plums (12oz) halved, pitted and cut into ½ inch wedges, ¼ teaspoon salt, 1 vanilla-bean – split lengthwise seeds scraped, pod reserved for another use, 1 teaspoon pure vanilla extract","<ol><li>. Preheat the oven at 350. Butter and flour a 9-inch spring form pan. In a small bowl, mix the cake flour with the baking powder and salt.</li><li>2. In a bowl of a standing mixer fitted with a paddle, beat the sugar with the almond paste until crumbly. Add the butter and beat t high speed until light in color and fluffy, about 2 minutes. Add the eggs, one at the a time, beating until fully incorporated between additions. Beat the vanilla extract and vanilla seeds. Gently fold in the flour mixture until fully incorporated.</li><li>3. Scrape the batter into the prepared pan. Arrange the plums over the top of the batter. Bake for 1 hour and 5 minutes, or until the cake is deeply golden and a toothpick inserted in the center comes out clean.</li><li>4. Transfer the cake to a rack and let cool for 15 minutes. Run a knife around the edge of the cake and remove the outside ring of the pan. Let the cake cool for at least 30 minutes longer. Serve warm or at room temperature topped with crme fraiche and slivered almonds.</li><li>Make ahead: The cake can be made one day ahead and stored in an airtight container at room temperature.</li></ol>"
Slow Cooker Poblano Corn Chowder with Chicken and Chorizo,8,45,https://www.foodista.com/recipe/8MJYSS3Z/slow-cooker-poblano-corn-chowder-with-chicken-and-chorizo,https://img.spoonacular.com/recipes/660297-556x370.jpg,372.53,17.23,9.64,36.99,"2 cans (about 14.5 ounces each) cream-style corn, 4 cups Swanson® Chicken Broth (Regular, Natural Goodness® or Certified Organic), 1 pound skinless, boneless chicken breasts and/or thighs, cut into cubes, 1/2 pound chorizo sausage, diced, 1 package (10 ounces) frozen whole kernel corn, thawed, 1/4 cup chopped fresh cilantro leaves, 1 cup heavy cream, 2 large poblano chiles, seeded and diced (about 2 cups), 1 large potato, diced (about 2 cups), 1 tablespoon sugar","<ol><li>Stir the broth, sugar, canned corn, potato, chiles, thawed corn, chicken and sausage in a 6-quart slow cooker.</li><li>Cover and cook on LOW for 7 to 8 hours* or until the chicken is cooked through. Stir in the cream and cilantro.</li></ol>"
Coffee Cream Martinis,4,45,https://www.foodista.com/recipe/3LNCWRTF/coffee-cream-martinis,https://img.spoonacular.com/recipes/639866-556x370.jpg,303.64,1.95,1.07,58.57,"1/2 cup of granulated sugar, 1 tablespoon of finely ground coffee, 1 1/2 ounces of vodka, 1 1/2 ounces of Baileys Irish cream, 1 1/2 ounces of Kahlua, chocolate syrup, ice cubes","In a small bowl combine the granualted sugar and ground coffee, mix well. Spoon a layer of the sugar coffee mixture onto a plate. Moisten the rim of a martini glass with water, hold upside down and place into the sugar coffee ground mixture getting a nice rim on the glass. Set aside. Fill a martini shaker three fouths full with ice. Add the vodka, Baileys and Kahlua, shake until condensation forms on the outside of the shaker. Drizzle chocolate syrup on the inside of the perpared martini glass. Strain the martini into the glass and serve immediately."
Austrian Goulash,12,130,https://www.foodista.com/recipe/2F4YVV7B/austrian-goulash,https://img.spoonacular.com/recipes/633063-556x370.jpg,404.42,21.95,4.57,14.67,"4-5 pounds beef stew cut meat, ½ cup beef stock, 1 can tomato sauce (approx 4 cups), 1 Tbsp. caraway seeds, 1 cup flour, 2 garlic cloves, sliced thin, 2 tsp. Hungarian Hot Paprika, zest of 1 small lemon, olive oil for searing, 2 large onions, 1 Tbsp. mild paprika, 1 Tbsp salt & pepper, 2 Tbsp. tomato paste","<ol><li>You will need a large Dutch oven with a lid for best results. Add just enough olive oil to coat the pan and turn the heat high enough to make the oil shimmer, but not smoke.</li><li>Pat the meat dry and dredge in flour, seasoned with kosher salt &amp; cracked pepper.</li><li>Add one piece of meat to the hot oil to make sure that it sizzles. Add the remaining meat, without crowding the pan and sear for about 3-4 minutes per side. You want a golden crust that will give the gravy great flavor.</li><li>Cook the meat in batches, if necessary and set aside in a bowl-- to collect the juice.</li><li>When all the meat is seared, turn the heat to medium and add a little more olive oil to the pan and cook the onion until tender-- 3-4 minutes. Add the sliced garlic and cook till fragrant-- 30 seconds or so.</li><li>Add the tomato paste and paprika, and cook for 1-2 minutes.</li><li>Add the tomato sauce, caraway seeds, lemon zest and chicken stock and stir well.</li><li>Bring to a simmer for about 15 minutes and taste for seasoning. Adjust as necessary. If the sauce is too thick, thin with a little more chicken stock or water until it is the consistency of a gravy.</li><li>Simmer for 2 hours, or you can use a slow cooker for 4-6 hours.</li><li>This stew tastes even better if made one day in advance.</li></ol>"
Agave Glazed Carrots,4,45,https://www.foodista.com/recipe/NDR83LNQ/agave-glazed-carrots,https://img.spoonacular.com/recipes/632015-556x370.jpg,79.51,3.09,1.83,13.14,"5 mediums sized carrots, peeled and sliced (2 cups), 1 tangerine, juiced (1/4 cup/seeds removed), 1 teaspoon zest from the tangerine, 1 tablespoon unsalted butter, 1 tablespoon blue agave nectar, Salt and freshly ground pepper to taste, Chopped flat-leaf parsley as optional garnish","Combine all the ingredients in a saucepan, bring to a simmer. Cover and cook at a simmer for 5 - 7 minutes, until the carrots are quite tender. Uncover and continue to simmer for another 5 minutes, stirring occasionally. When the liquid has evaporated and the carrots are lightly glazed, remove from the heat. Taste carefully for salt and pepper (the sugar from the nectar can burn!) Serve immediately, or take off the heat, cover and set aside for a few minutes until ready to serve."
Gluten Free Cinnamon Apple Muffins,12,45,https://www.foodista.com/recipe/43GDZDR2/gluten-free-cinnamon-apple-muffins,https://img.spoonacular.com/recipes/644810-556x370.jpg,52.92,1.21,0.4,9.69,"1 box Betty Crocker's gluten free yellow cake mix, 3 eggs, 1/2 cup water, 1 tablespoon cinnamon, 1 teaspoon nutmeg, 1/4 teaspoon ground cloves, 1/2 teaspoon lemon juice, 3 granny smith apples, 2 tablespoons agave nectar or honey","Preheat oven to to 350 degrees. Core, peel, and chop the apples into small pieces In a medium bowl, combine the apples, cinnamon, nutmeg, cloves, lemon juice, and agave. In a large bowl, add the yellow cake mix, eggs, water, and apples.  Now stir, stir, stir until very well combined. Line a muffin tin with baking cups and fill each cup with batter. Bake 18-23 minutes."
Corn Avocado Salsa,2,25,https://www.foodista.com/recipe/BDRS2JZG/corn-avocado-salsa,https://img.spoonacular.com/recipes/640062-556x370.jpg,237.36,15.58,2.25,26.27,"1 Avocado, 1 teaspoon Balsamic vinegar, 1 teaspoon Cumin, 3/4 cup Corn, freshly hulled (You can also use frozen corn, thawed), 1 clove garlic, 1/2 medium Red Pepper",<ol><li>Preheat oven to 375 degrees.</li><li>Spread corn flat on a baking sheet.</li><li>Spray lightly with olive oil spray.</li><li>Roast corn in the oven for about 8-10 minutes. (Be careful not to brown too much or burn.)</li><li>Remove from heat and allow to cool.</li><li>Finely chop red pepper and garlic and mix in a bowl.</li><li>Peel and coarsely chop avocado and add to bowl.</li><li>Add cooled corn.</li><li>Mix in cumin and vinegar and blend well.</li></ol>
